timestamp,uptime_s,rss_bytes,heap_committed,fd_count,query_count,query_max_us
1785109730,5,13942784,15728640,17,1,1444139
1785109740,15,17858560,15728640,17,20,1444139
1785109751,25,18038784,15728640,17,41,1444139
1785109763,40,18087936,15728640,17,71,1444139
1785109775,50,18169856,15728640,17,92,1444139
1785109787,60,18219008,15728640,17,116,1444139
1785109798,75,18235392,15728640,17,146,1444139
1785109810,85,18268160,15728640,17,166,1444139
1785109822,95,18268160,15728640,17,191,1444139
1785109834,110,18612224,15728640,17,221,1444139
1785109845,120,18628608,15728640,17,241,1444139
1785109857,130,18644992,15728640,17,266,1444139
1785109869,145,18661376,15728640,17,296,1444139
1785109880,155,18677760,15728640,17,316,1444139
1785109892,165,18694144,15728640,17,339,1444139
1785109904,180,18710528,15728640,17,371,1444139
1785109916,190,18726912,15728640,17,391,1444139
1785109927,205,19791872,19267584,19,425,1444139
1785109939,215,18743296,15728640,17,446,1444139
1785109951,225,18759680,15728640,17,466,1444139
1785109963,240,18759680,15728640,17,499,1444139
1785109974,250,18759680,15728640,17,521,1444139
1785109986,260,18759680,15728640,17,541,1444139
1785109998,275,18939904,15728640,17,571,1444139
1785110010,285,18939904,15728640,17,596,1444139
1785110021,295,18939904,15728640,17,616,1444139
1785110033,310,18939904,15728640,17,646,1444139
1785110045,320,18939904,15728640,17,669,1444139
1785110057,330,18939904,15728640,17,691,1444139
1785110068,345,18939904,15728640,17,721,1444139
1785110080,355,18939904,15728640,17,741,1444139
1785110092,365,18939904,15728640,17,766,1444139
1785110104,380,18939904,15728640,17,796,1444139
1785110116,390,18939904,15728640,17,816,1444139
1785110127,400,18939904,15728640,17,839,1444139
1785110139,415,18939904,15728640,17,871,1444139
1785110151,425,18939904,15728640,17,891,1444139
1785110163,440,18939904,15728640,17,926,1444139
1785110174,450,18939904,15728640,17,946,1444139
1785110186,460,18939904,15728640,17,966,1444139
